Words,Similarity_Score,Paragraph_Numbers,Count,Paragraphs,Path
intends,0.7,6,1,"timewarner is to restate its accounts as part of efforts to resolve an inquiry into aol by us market regulators. it has already offered to pay $300m to settle charges, in a deal that is under review by the sec. the company said it was unable to estimate the amount it needed to set aside for legal reserves, which it previously set at $500m. it intends to adjust the way it accounts for a deal with german music publisher bertelsmann's purchase of a stake in aol europe, which it had reported as advertising revenue. it will now book the sale of its stake in aol europe as a loss on the value of that stake.",bbc_doc/business/001.docx
try,0.59,4,1,"time warner said on friday that it now owns 8% of search-engine google. but its own internet business, aol, had has mixed fortunes. it lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters. however, the company said aol's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues. it hopes to increase subscribers by offering the online service free to timewarner internet customers and will try to sign up aol's existing customers for high-speed broadband. timewarner also has to restate 2000 and 2003 results following a probe by the us securities exchange commission (sec), which is close to concluding.",bbc_doc/business/001.docx
settle,0.56,6,1,"timewarner is to restate its accounts as part of efforts to resolve an inquiry into aol by us market regulators. it has already offered to pay $300m to settle charges, in a deal that is under review by the sec. the company said it was unable to estimate the amount it needed to set aside for legal reserves, which it previously set at $500m. it intends to adjust the way it accounts for a deal with german music publisher bertelsmann's purchase of a stake in aol europe, which it had reported as advertising revenue. it will now book the sale of its stake in aol europe as a loss on the value of that stake.",bbc_doc/business/001.docx
need,0.61,4,1,"worries about the deficit concerns about china do, however, remain. china's currency remains pegged to the dollar and the us currency's sharp falls in recent months have therefore made chinese export prices highly competitive. but calls for a shift in beijing's policy have fallen on deaf ears, despite recent comments in a major chinese newspaper that the ""time is ripe"" for a loosening of the peg. the g7 meeting is thought unlikely to produce any meaningful movement in chinese policy. in the meantime, the us federal reserve's decision on 2 february to boost interest rates by a quarter of a point - the sixth such move in as many months - has opened up a differential with european rates. the half-point window, some believe, could be enough to keep us assets looking more attractive, and could help prop up the dollar. the recent falls have partly been the result of big budget deficits, as well as the us's yawning current account gap, both of which need to be funded by the buying of us bonds and assets by foreign firms and governments. the white house will announce its budget on monday, and many commentators believe the deficit will remain at close to half a trillion dollars.",bbc_doc/business/002.docx
meantime,0.59,4,1,"worries about the deficit concerns about china do, however, remain. china's currency remains pegged to the dollar and the us currency's sharp falls in recent months have therefore made chinese export prices highly competitive. but calls for a shift in beijing's policy have fallen on deaf ears, despite recent comments in a major chinese newspaper that the ""time is ripe"" for a loosening of the peg. the g7 meeting is thought unlikely to produce any meaningful movement in chinese policy. in the meantime, the us federal reserve's decision on 2 february to boost interest rates by a quarter of a point - the sixth such move in as many months - has opened up a differential with european rates. the half-point window, some believe, could be enough to keep us assets looking more attractive, and could help prop up the dollar. the recent falls have partly been the result of big budget deficits, as well as the us's yawning current account gap, both of which need to be funded by the buying of us bonds and assets by foreign firms and governments. the white house will announce its budget on monday, and many commentators believe the deficit will remain at close to half a trillion dollars.",bbc_doc/business/002.docx
believe,0.58,4,1,"worries about the deficit concerns about china do, however, remain. china's currency remains pegged to the dollar and the us currency's sharp falls in recent months have therefore made chinese export prices highly competitive. but calls for a shift in beijing's policy have fallen on deaf ears, despite recent comments in a major chinese newspaper that the ""time is ripe"" for a loosening of the peg. the g7 meeting is thought unlikely to produce any meaningful movement in chinese policy. in the meantime, the us federal reserve's decision on 2 february to boost interest rates by a quarter of a point - the sixth such move in as many months - has opened up a differential with european rates. the half-point window, some believe, could be enough to keep us assets looking more attractive, and could help prop up the dollar. the recent falls have partly been the result of big budget deficits, as well as the us's yawning current account gap, both of which need to be funded by the buying of us bonds and assets by foreign firms and governments. the white house will announce its budget on monday, and many commentators believe the deficit will remain at close to half a trillion dollars.",bbc_doc/business/002.docx
intends,0.7,4,1,rosneft officials were unavailable for comment. but the company has said it intends to take action against menatep to recover some of the tax claims and debts owed by yugansk. yukos had filed for bankruptcy protection in a us court in an attempt to prevent the forced sale of its main production arm. the sale went ahead in december and yugansk was sold to a little-known shell company which in turn was bought by rosneft. yukos claims its downfall was punishment for the political ambitions of its founder mikhail khodorkovsky and has vowed to sue any participant in the sale.,bbc_doc/business/003.docx
attempt,0.59,4,1,rosneft officials were unavailable for comment. but the company has said it intends to take action against menatep to recover some of the tax claims and debts owed by yugansk. yukos had filed for bankruptcy protection in a us court in an attempt to prevent the forced sale of its main production arm. the sale went ahead in december and yugansk was sold to a little-known shell company which in turn was bought by rosneft. yukos claims its downfall was punishment for the political ambitions of its founder mikhail khodorkovsky and has vowed to sue any participant in the sale.,bbc_doc/business/003.docx
not,0.57,3,1,"state-owned rosneft bought the yugansk unit for $9.3bn in a sale forced by russia to part settle a $27.5bn tax claim against yukos. yukos' owner menatep group says it will ask rosneft to repay a loan that yugansk had secured on its assets. rosneft already faces a similar $540m repayment demand from foreign banks. legal experts said rosneft's purchase of yugansk would include such obligations. ""the pledged assets are with rosneft, so it will have to pay real money to the creditors to avoid seizure of yugansk assets,"" said moscow-based us lawyer jamie firestone, who is not connected to the case. menatep group's managing director tim osborne told the reuters news agency: ""if they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.""",bbc_doc/business/003.docx
settle,0.56,3,1,"state-owned rosneft bought the yugansk unit for $9.3bn in a sale forced by russia to part settle a $27.5bn tax claim against yukos. yukos' owner menatep group says it will ask rosneft to repay a loan that yugansk had secured on its assets. rosneft already faces a similar $540m repayment demand from foreign banks. legal experts said rosneft's purchase of yugansk would include such obligations. ""the pledged assets are with rosneft, so it will have to pay real money to the creditors to avoid seizure of yugansk assets,"" said moscow-based us lawyer jamie firestone, who is not connected to the case. menatep group's managing director tim osborne told the reuters news agency: ""if they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.""",bbc_doc/business/003.docx
ask,0.55,2,2,the owners of embattled russian oil giant yukos are to ask the buyer of its former production unit to pay back a $900m (£479m) loan.,bbc_doc/business/003.docx
,,3,,"state-owned rosneft bought the yugansk unit for $9.3bn in a sale forced by russia to part settle a $27.5bn tax claim against yukos. yukos' owner menatep group says it will ask rosneft to repay a loan that yugansk had secured on its assets. rosneft already faces a similar $540m repayment demand from foreign banks. legal experts said rosneft's purchase of yugansk would include such obligations. ""the pledged assets are with rosneft, so it will have to pay real money to the creditors to avoid seizure of yugansk assets,"" said moscow-based us lawyer jamie firestone, who is not connected to the case. menatep group's managing director tim osborne told the reuters news agency: ""if they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.""",
invest,0.59,6,1,"it also reported on friday that passenger numbers rose 8.1% in january. aviation analyst nick van den brul of bnp paribas described ba's latest quarterly results as ""pretty modest"". ""it is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said. since the 11 september 2001 attacks in the united states, ba has cut 13,000 jobs as part of a major cost-cutting drive. ""our focus remains on reducing controllable costs and debt whilst continuing to invest in our products,"" mr eddington said. ""for example, we have taken delivery of six airbus a321 aircraft and next month we will start further improvements to our club world flat beds."" ba's shares closed up four pence at 274.5 pence.",bbc_doc/business/004.docx
considering,0.58,3,1,"reports in the wall street journal and the financial times suggested that the french spirits firm is considering a bid, but has yet to contact its target. allied domecq shares in london rose 4% by 1200 gmt, while pernod shares in paris slipped 1.2%. pernod said it was seeking acquisitions but refused to comment on specifics.",bbc_doc/business/005.docx
